WP0001,36¡24.65'N,005¡09.58'W,
WP0002,36¡30.23'N,004¡52.88'W,
WP0003,36¡26.95'N,004¡37.31'W,
WP0004,36¡35.27'N,004¡28.13'W,
WP0005,36¡37.71'N,004¡13.41'W,
WP0006,36¡38.04'N,003¡55.21'W,
WP0007,36¡36.72'N,003¡30.57'W,
WP0008,36¡36.61'N,003¡14.73'W,
WP0009,36¡36.67'N,002¡53.87'W,
WP0010,36¡41.81'N,002¡48.20'W,
PHOTO3,36¡41.31'N,002¡47.52'W,
WP0012,36¡36.41'N,002¡43.32'W,
PHOTO4,36¡38.73'N,002¡33.72'W,
PHOTO5,36¡39.36'N,002¡31.36'W,
WP0013,36¡39.63'N,002¡10.90'W,
WP0014,36¡45.78'N,001¡57.72'W,
WP0015,36¡58.34'N,001¡45.56'W,
WP0016,37¡13.42'N,001¡36.64'W,
PHOTO6,37¡24.45'N,001¡31.09'W,
WP0018,37¡31.37'N,001¡05.45'W,
PHOTO7,37¡34.52'N,001¡00.34'W,
PHOTO9,37¡33.47'N,000¡58.36'W,
WP0020,37¡31.51'N,000¡50.00'W,
PHOTO8,37¡37.20'N,000¡41.98'W,
PHOTO10,37¡37.82'N,000¡41.15'W,
PHOTO11,37¡39.22'N,000¡40.76'W,
WP0022,37¡57.45'N,000¡40.74'W,
WP0023,38¡10.84'N,000¡29.89'W,
WP0024,38¡19.27'N,000¡28.59'W,
PHOTO12,38¡19.94'N,000¡29.14'W,
WP0025,38¡20.29'N,000¡19.20'W,
PHOTO14,38¡26.29'N,000¡13.20'W,
WP0026,38¡29.78'N,000¡04.67'W,
PHOTO15,38¡34.74'N,000¡02.74'W,
WP0027,38¡42.96'N,000¡16.20'E,
PHOTO16,38¡44.39'N,000¡14.31'E,
PHOTO17,38¡44.73'N,000¡14.43'E,
PHOTO18,38¡50.17'N,000¡16.36'E,
PHOTO19,38¡50.78'N,000¡16.53'E,
WP0028,38¡51.64'N,000¡11.74'E,
WP0029,39¡00.34'N,000¡05.20'E,
WP0030,39¡15.40'N,000¡02.11'E,
WP0031,39¡33.62'N,000¡02.32'E,
PHOTO20,39¡51.60'N,000¡04.31'E,
PHOTO21,40¡24.89'N,000¡25.94'E,
PHOTO22,40¡27.13'N,000¡33.25'E,
WP0034,40¡30.27'N,000¡39.86'E,
WP0035,40¡42.12'N,000¡55.63'E,
WP0036,41¡04.70'N,001¡16.26'E,
WP0037,41¡10.28'N,001¡44.93'E,
PHOTO2,41¡13.26'N,001¡57.64'E,
PHOTO23,41¡16.28'N,002¡06.38'E,
WP0038,41¡17.23'N,002¡09.59'E,
PHOTO1,41¡20.60'N,002¡12.32'E,
WP0039,41¡25.00'N,002¡16.50'E,
